id,listing_id,post_town,outcode,property_type,first_published_date_day,first_published_date_month,first_published_date_year,last_published_date_day,last_published_date_month,last_published_date_year,num_bathrooms,num_bedrooms,num_floors,num_recepts,price
31595,52159976,Southampton,16,2,15,4,2019,30,5,2019,2,3,0,3,355000
31596,50687060,Southampton,30,2,10,7,2019,28,8,2019,1,2,0,2,325000
31597,51139208,Southampton,19,3,7,8,2019,28,8,2019,1,3,0,1,325000
31598,52049616,Southampton,16,2,15,5,2019,28,5,2019,2,3,0,2,300000
31599,52059528,Southampton,17,0,9,6,2019,20,8,2019,0,5,0,0,300000
31600,52332992,Southampton,16,7,13,8,2019,14,8,2019,1,3,0,1,300000
31601,51444956,Southampton,17,2,4,3,2019,5,8,2019,1,4,0,2,319950
31602,51712920,Southampton,30,8,20,7,2019,22,7,2019,2,3,0,0,300000
31603,52398517,Southampton,19,3,20,8,2019,21,8,2019,1,3,0,2,300000
31604,50687060,Southampton,16,5,22,6,2019,25,6,2019,1,2,0,1,300000
31605,52159976,Southampton,16,3,22,8,2019,28,8,2019,1,3,0,1,300000
31606,52463626,Southampton,30,2,10,7,2019,28,8,2019,1,2,0,2,310000
31607,51859981,Southampton,19,3,7,8,2019,28,8,2019,1,3,0,1,300000
31608,52492525,Southampton,15,2,23,8,2019,23,8,2019,0,4,0,0,300000
31610,52059528,Southampton,30,8,29,5,2019,30,5,2019,2,3,0,1,300000
31611,52332992,Southampton,17,0,22,8,2019,27,8,2019,2,4,0,1,300000
31612,52496126,Southampton,17,2,21,9,2018,19,11,2018,1,3,0,2,300000
31613,51588361,Southampton,15,3,21,8,2019,28,8,2019,1,3,0,2,300000
31614,52488396,Southampton,15,0,15,7,2019,16,7,2019,2,5,0,1,300000
31615,49112913,Southampton,14,0,17,10,2018,27,2,2019,2,5,0,1,300000
31616,52482715,Southampton,14,5,14,5,2019,15,5,2019,2,4,0,1,300000
31617,52097872,Southampton,17,2,28,5,2019,23,8,2019,0,4,0,0,300000
31618,49380560,Southampton,18,5,8,3,2018,21,8,2019,0,2,0,0,300000
31619,51435338,Southampton,14,3,13,12,2018,14,12,2018,0,0,0,0,300000
31620,51571273,Southampton,17,2,19,8,2019,20,8,2019,1,5,0,1,300000
31621,43909208,Southampton,30,7,13,6,2019,19,6,2019,1,2,1,1,300000
31622,49946015,Southampton,18,5,14,9,2018,21,8,2019,0,2,0,0,300000
31623,52448675,Southampton,19,2,29,5,2019,14,8,2019,2,3,0,2,300000
31624,51758942,Southampton,18,2,19,8,2019,27,8,2019,1,3,0,1,300000
31625,47718542,Southampton,30,0,11,4,2019,14,8,2019,1,2,0,0,299995
31626,51593671,Southampton,17,2,28,8,2019,28,8,2019,1,3,0,2,299995
31627,50779897,Southampton,16,0,27,6,2019,15,7,2019,1,3,0,0,299950
31628,51108610,Southampton,18,2,16,7,2019,17,7,2019,1,3,0,2,299950
